Plant Name,Family,Book,Page start,Page end,1. Flowering 🌼,2. Fruiting 🍊,2A. Dormancy💤,3. Deciduous 🍂,4. Bulbous root 🥔,4A. Rhizomatous 🌾,5. Water Plant 🌊?,5A. Perennial♾️,6. Herb 🌿,7. Shrub🌴,8. Tree🌳,9. Climber🧗‍♀️,10. Creep-ing🐌,11. Succu-lent🌵,11A. Tropical rainforest habitat☔,11B. Insectivorous🦟,11C. Parasitic 🧛,12. Full Sun ☀️,13. Semi-Shade 🌤️,14. Shade ☁️,15. Hot 🔥,16. Warm 🌡️,17. Cold ❄️,18. Wind Tolerant 💨?,18A. Wind Sensitive🛡️,19. Cold-phobia 😨?,20. Salt Tolerant 🧂,21. Drought tolerant🏜️,22. Moist 💧,23. Requring lots of water 🌧️,23A. Moist-phobia🚫,24. Drought-sensitive🥀,25. Thermo-sensitive 🥵,25A. Barren tolerant🗿,25B. Antipollution 🔄,26. Lightly toxic🟡,27. Toxic🟠,28. Heavily toxic 🔴,Count of cell with logo,,,,
Embelia laeta,Myrsinaceae,4,82,,12-3,4-6,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,7,,,,
Maesa japonica,Myrsinaceae,4,83,,1-3,,,,,,,,,🌴,🌳,,,,,,,,,☁️,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Maesa perlarius,Myrsinaceae,4,83,,1-3,12-5,,,,,,,,🌴,,,,,,,,,,☁️,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Bougainvillea Comm. & Juss.,Nyctaginaceae,4,84,85,3-11,,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Mirabilis jalapa,Nyctaginaceae,4,86,,4-10,,,,,🌾,,,🌿,,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,,,,,,,,,🟠,,7,,,,
Mirabilis jalapa 'Alba',Nyctaginaceae,4,86,87,4-10,,,,,🌾,,,🌿,,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,,,,,,,,,🟠,,7,,,,
Mirabilis jalapa cultivarietas,Nyctaginaceae,4,86,87,4-10,,,,,🌾,,,🌿,,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,,,,,,,,,🟠,,7,,,,
Borago officinalis,Boraginaceae,4,88,,5-10,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,🚫,,🥵,,,,,,6,,,,
Borago officinalis 'Alba',Boraginaceae,4,88,,5-10,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,🚫,,🥵,,,,,,6,,,,
Carmona microphylla,Boraginaceae,4,89,,3-9,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,😨,,,💧,,,,,,,,,,6,,,,
Carmona microphylla 'Variegata,Boraginaceae,4,89,,3-9,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,😨,,,💧,,,,,,,,,,6,,,,
Cordia sebestena,Boraginaceae,4,89,,5-12,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,😨,,,💧,,🚫,,,,,,,,7,,,,
Ehretia longiflora,Boraginaceae,4,90,,3-9,3-9,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Heliotropium indicum,Boraginaceae,4,90,,4-7,8-10,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Heliotropium peruvianum,Boraginaceae,4,91,,2-6,5-8,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Messerschmidia argentea,Boraginaceae,4,91,,3-5,5-8,,,,,,,,🌴,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,🧂,🏜️,💧,,🚫,,,,,,,,10,,,,
Myosotis alpestris,Boraginaceae,4,92,,5-6,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,,❄️,,,,,,💧,🌧️,,,,,,,,,6,,,,
Symphytum officinale,Boraginaceae,4,92,,5-10,,,,,,,,🌿,,,,,,,,,,🌤️,,,🌡️,,,,,,🏜️,💧,,,,,,,,🟠,,6,,,,
Anemopaegma chamberlaynii,Osmundaceae,4,93,,,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Campsis grandiflora,Bignoniaceae,4,93,,,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,🧂,🏜️,💧,,,,,,,,,,6,,,,
Campsis radicans,Bignoniaceae,4,94,,7-10,11,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,,5,,,,
Clytostoma callistegioides,Bignoniaceae,4,94,,4-6,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,🚫,,,,,,🟠,,8,,,,
Crescentia alata,Bignoniaceae,4,95,,7-9,10-12,,,,,,,,🌴,🌳,,,,,,,,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Dolichandrone cauda-felina,Bignoniaceae,4,96,,10-12,4-7,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Distictis buccinatoria,Bignoniaceae,4,97,,4-9,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Dolichandrone spathacea,Bignoniaceae,4,97,,6-9,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,🧂,,💧,🌧️,,,,,,,,,7,,,,
Jacaranda mimosifolia,Bignoniaceae,4,98,,4-6,2-3,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,😨,,🏜️,💧,,,,,,,,,,8,,,,
Kigelia africana,Bignoniaceae,4,99,,4-12,5,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Macfadyena unguis-cati,Bignoniaceae,4,100,,4-7,6,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Markhamia lutea,Bignoniaceae,4,100,,3-4,6,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,😨,,🏜️,💧,,,,,,,,,,6,,,,
Mayodendron igneum (Radermachera ignea),Bignoniaceae,4,101,,3-4,4-5,,,,,,,,,🌳,,,,,,,,🌤️,,🔥,🌡️,,,,,,🏜️,💧,,🚫,,,🗿,,,,,8,,,,
Millingtonia hortensis,Bignoniaceae,4,101,,10-12,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Oroxylum indicum,Bignoniaceae,4,102,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Pandorea jasminoides,Bignoniaceae,4,103,,5-9,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Pandorea jasminoides 'Ensel-Variegata',Bignoniaceae,4,103,,5-9,,,,,,,,,,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Podranea ricasoliana,Bignoniaceae,4,104,,9-5,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Podranea ricasoliana 'Alba',Bignoniaceae,4,104,,9-5,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Pseudocalymma alliaceum,Bignoniaceae,4,105,,"3-6,10-1",6-2,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Pyrostegia ignea,Bignoniaceae,4,105,,12-3,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Radermachera hainanensis,Bignoniaceae,4,106,,4-9,9-10,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Radermachera pierrei,Bignoniaceae,4,106,,5-10,,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,7,,,,
Radermachera sinica,Bignoniaceae,4,107,,5-9,6-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Saritaea magnifica,Bignoniaceae,4,107,,1-2,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,🚫,,,,,,,,6,,,,
Spathodea campanulata,Bignoniaceae,4,108,,4-11,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Tabebuia argentea,Bignoniaceae,4,108,,3-4,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,🏜️,💧,,,,,,,,,,8,,,,
Tabebuia chrysotricha,Bignoniaceae,4,109,,3-4,5-6,,🍂,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,,,7,,,,
Tabebuia impetiginosa,Bignoniaceae,4,109,,11-1,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Tabebuia rosea,Bignoniaceae,4,110,,3-6,,,🍂,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Tecoma stans,Bignoniaceae,4,110,,9-2,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,❄️,,,,,🏜️,💧,,,,,,,,,,6,,,,
Tecomanthe hillii,Bignoniaceae,4,111,,2-4,,,,,,,,,,,🧗‍♀️,,,,,,,🌤️,,🔥,,❄️,,,,,🏜️,💧,,,,,,,,,,6,,,,
Tecomaria capensis,Bignoniaceae,4,111,,8-11,,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Tecomaria capensis 'Harmony Gold',Bignoniaceae,4,111,,1-12,,,,,,,,,,,🧗‍♀️,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Garrya elliptica,Garryaceae,4,112,,1-3,,,,,,,,,🌴,,,,,,,,,🌤️,,,🌡️,❄️,,,,,🏜️,,,,,,,,,,,5,,,,
Carica papaya,Caricaceae,4,112,,1-12,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,,,5,,,,
Carica papaya cultivarietas,Caricaceae,4,112,,1-12,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,,,5,,,,
Jacaratia corumbensis,Caricaceae,4,113,,4,,12-2,🍂,,🌾,,,,🌴,,,,🌵,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,,,,8,,,,
Aloinopsis schooneesii,Aizoaceae,4,114,,5-7,7-9,,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,🌡️,,💨,,😨,,🏜️,,,,,🥵,,,,,,9,,,,
Aloinopsis spathulata,Aizoaceae,4,114,,6-8,8-10,,,,,,,,🌴,,,,🌵,,,,☀️,,,🔥,🌡️,,💨,,😨,,🏜️,,,,,🥵,,,,,,9,,,,
Aptenia cordifolia,Aizoaceae,4,115,,3-10,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,💧,,🚫,,,,,,,,8,,,,
Astridia velutina,Aizoaceae,4,116,,2-8,,,,,,,,🌿,,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,😨,,🏜️,💧,,🚫,,,,,,,,9,,,,
Carpobobrotus acinaciformis,Aizoaceae,4,116,,11-4,,6-9,,,,,,,🌴,,,,🌵,,,,,🌤️,,,🌡️,,,,😨,,🏜️,,,🚫,,🥵,,,,,,8,,,,
Conophytum bilobum,Aizoaceae,4,117,,9-10,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Conophytum loreum,Aizoaceae,4,117,,,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Conophytum blandum,Aizoaceae,4,118,,12-1,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Conophytum meyeri,Aizoaceae,4,118,,12-1,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Delosperma echinatum,Aizoaceae,4,119,,1-12,,,,,,,,,🌴,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,7,,,,
Conophytum minutum,Aizoaceae,4,119,,12-1,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Dorotheanthus bellidiformis (Dorotheanthus criniflorus),Aizoaceae,4,120,,2-3,,,,,,,,🌿,,,,,🌵,,,,,🌤️,,,🌡️,❄️,,,,,,,,,,,,,,,,5,,,,
Faucaria albidens,Aizoaceae,4,120,,8-10,,6-9,,,,,,🌿,,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,,,,,,,,,,,6,,,,
Faucaria tigrina,Aizoaceae,4,121,,8-10,,6-9,,,,,,🌿,,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,,,,,,,,,,,6,,,,
Faucaria tuberculosa,Aizoaceae,4,121,,8-10,,6-9,,,,,,🌿,,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,,,🏜️,,,,,,,,,,,6,,,,
Fenestraria aurantiaca,Aizoaceae,4,121,,1-2,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Fenestraria rhopalophylla,Aizoaceae,4,122,,8,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Frithia pulchra,Aizoaceae,4,122,,10,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Glottiphyllum linguiforme,Aizoaceae,4,122,,1-5,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Glottiphyllum longum,Aizoaceae,4,123,,5-6,,,,,,,,🌿,,,,,🌵,,,,☀️,🌤️,,,🌡️,,,,😨,,🏜️,,,🚫,,🥵,,,,,,9,,,,
Lampranthus aureus,Aizoaceae,4,123,,2-8,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Lampranthus multiradiatus,Aizoaceae,4,124,,3-5,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,🥵,,,,,,7,,,,
Lampranthus productus,Aizoaceae,4,124,,4-5,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Lithops aucampiae,Aizoaceae,4,125,,12-2,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,🥵,,,,,,8,,,,
Lithops gracilidelineata,Aizoaceae,4,125,,12-2,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,🥵,,,,,,8,,,,
Lithops lesliei ssp. lesliei,Aizoaceae,4,126,,12-2,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,🚫,,,,,,,,6,,,,
Lithops olivacea var. olivacea,Aizoaceae,4,126,,12-2,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Lithops salicola,Aizoaceae,4,127,,,,,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Rhombophyllum nelii,Aizoaceae,4,127,,,,6-8,,,,,,🌿,,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Tetragonia tetragonioides,Aizoaceae,4,128,,2-10,,,,,,,,,🌴,,,,🌵,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Titanopsis calcarea,Aizoaceae,4,128,,2-3,,,,,,,,,🌴,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Trichodiadema bulbosum,Aizoaceae,4,128,,6-7,,,,,,,,,🌴,,,,🌵,,,,☀️,,,,🌡️,,,,😨,,🏜️,,,🚫,,,,,,,,7,,,,
Annona cherimola,Armonaceae,4,129,,11-3,10-5,,,,,,,,,,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,🟠,,6,,,,
Annona squamosa,Armonaceae,4,129,,5-6,6-11,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Artabotrys hexapetalus,Armonaceae,4,130,,5-8,6-12,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,☁️,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Cananga odorata,Armonaceae,4,130,,3-10,12,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,😨,,,💧,🌧️,,,,,,,,,6,,,,
Cananga odorata var. fruticosa,Armonaceae,4,131,,5-8,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,,,5,,,,
Desmos chinensis,Armonaceae,4,131,,4-8,6-3,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,8,,,,
Goniothalamus laoticus,Armonaceae,4,132,,4-7,7-8,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Polyalthia longifolia,Armonaceae,4,132,,3-6,10-12,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,🌡️,,,🛡️,😨,,🏜️,💧,,,,,,,,,,9,,,,
Uvaria grandiflora,Armonaceae,4,133,,3-11,6-12,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Uvaria macrophylla,Armonaceae,4,133,,4-7,5-12,,,,,,,,🌴,,🧗‍♀️,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Archontophoenix alexandrae,Arecaceae,4,134,,4-6,5-7,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,,💧,,,,,,,,,,6,,,,
Areca catechu,Arecaceae,4,134,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Areca triandra,Arecaceae,4,135,,4-6,8-9,,,,,,,,,🌳,,,,,,,,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Arenga engleri,Arecaceae,4,135,,3-4,9-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,,💧,🌧️,,,,🗿,,,🟠,,7,,,,
Arenga hookeriana,Arecaceae,4,136,,,,,,,,,,,,🌳,,,,☔,,,,,,,,,,,,,,,,,,,🗿,,,,,3,,,,
Arenga pinnata,Arecaceae,4,136,,4-6,10,,,,,,,,,🌳,,,,,,,☀️,,☁️,🔥,🌡️,,,,😨,,,💧,🌧️,,,,,,,🟠,,9,,,,
Bismarckia nobilis,Arecaceae,4,137,,3-6,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Broassus flabelliformis,Arecaceae,4,137,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Butia capitata,Arecaceae,4,138,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,🏜️,💧,,,,,,,,,,7,,,,
Caryota mitis,Arecaceae,4,138,,4-6,7-11,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,🟠,,7,,,,
Caryota mitis 'Variegata',Arecaceae,4,139,,4-6,7-11,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Caryota obtusa,Arecaceae,4,139,,8-12,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Chamaedorea elegans,Arecaceae,4,140,,3-4,,,,,,,,,🌴,,,,,,,,,🌤️,☁️,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,7,,,,
Chamaedorea metallica,Arecaceae,4,140,,3-4,8-9,,,,,,,,🌴,,,,,,,,,,☁️,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Chamaerops humilis,Arecaceae,4,141,,7-8,,,,,,,,,,🌳,,,,,,,,🌤️,☁️,🔥,🌡️,❄️,,,,,,💧,🌧️,,,,,,,,,8,,,,
Cocos nucifera,Arecaceae,4,141,,5-10,5-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,🧂,,💧,🌧️,,,,,,,,,7,,,,
Cocos nucifera cultivarietas,Arecaceae,4,141,,5-10,5-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,🧂,,💧,🌧️,,,,,,,,,7,,,,
Copernicia macroglossa,Arecaceae,4,142,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Dictyosperma album,Arecaceae,4,142,,9,10,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,💨,,,,,💧,,,,,,,,,,5,,,,
Dypsis lutescens (Chrysalidocarpus lutescens),Arecaceae,4,143,,4-8,5-11,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,😨,🧂,🏜️,💧,,,,,,🔄,,🟠,,10,,,,
Elaeis guineensis,Arecaceae,4,143,,9-10,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Hyophorbe lagenicaulis (Mascarena lagenicaulis),Arecaceae,4,144,,9-10,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Hyophorbe verschaffeltii (Mascarena verschaffeltii),Arecaceae,4,144,,3-6,3-7,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Latania lontaroides,Arecaceae,4,145,,2-4,2-4,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Licuala grandis,Arecaceae,4,145,,3-4,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Licuala spinosa,Arecaceae,4,146,,3-5,9-12,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,❄️,,,,,,💧,🌧️,,,,,,,,,8,,,,
Livistona benthamii,Arecaceae,4,146,,3,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,🧂,,💧,🌧️,,,,,,,,,6,,,,
Livistona chinensis,Arecaceae,4,147,,3-4,5-9,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,🟡,,,7,,,,
Livistona decipiens,Arecaceae,4,147,,3,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,,,,,🏜️,💧,🌧️,,,,,,,,,6,,,,
Livistona rotundifolia,Arecaceae,4,148,,6-8,9-10,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,7,,,,
Neodypsis decaryi (Dypsis decaryi),Arecaceae,4,148,,6-9,8-11,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,🏜️,💧,🌧️,,,,,,,,,8,,,,
Neodypsis leptocheilos,Arecaceae,4,149,,4-11,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,,🏜️,💧,🌧️,,,,,,,,,8,,,,
Phoenix canariensis,Arecaceae,4,149,,5-7,8-12,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,❄️,,,,🧂,🏜️,💧,,,,,🗿,,,,,8,,,,
Phoenix dactylifera,Arecaceae,4,150,,3-4,9-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,😨,🧂,🏜️,💧,,,,,,,,,,8,,,,
Phoenix hanceana,Arecaceae,4,150,,4-5,6-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,💧,,🚫,,,,,,,,7,,,,
Phoenix hanceana var. formosana,Arecaceae,4,151,,4-5,6-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,,,💧,,,,,,,,,,6,,,,
Phoenix reclinata,Arecaceae,4,151,,6,9,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Phoenix roebelenii,Arecaceae,4,152,,4-5,6-9,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Phoenix sylvestris,Arecaceae,4,152,,4-5,9-10,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,❄️,,,,🧂,🏜️,💧,🌧️,,,,,,,,,9,,,,
Pinanga coronata (Pinanga kuhlii),Arecaceae,4,153,,1-12,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Ptychosperma macarthurii,Arecaceae,4,153,,4-8,5-9,,,,,,,,,🌳,,,,,,,☀️,🌤️,,,🌡️,❄️,,,,,,💧,,,,,,,,,,6,,,,
Ravenea rivularis,Arecaceae,4,154,,6-7,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,❄️,,,,,,💧,,,,,,,,,,5,,,,
Rhapis excelsa,Arecaceae,4,154,,6-9,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Rhapis excelsa 'Variegata',Arecaceae,4,155,,7-1,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Rhapis humilis,Arecaceae,4,155,,12-1,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Roystonea oleracea,Arecaceae,4,156,,,,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
